Size Mode,Dry Deposition (tonnes/year),Impaction Scavenging (tonnes/year),Nucleation Scavenging (tonnes/year),Total Deposition (tonnes/year),MP Burden (tonnes),Lifetime (days)
Fragments Aitken (Ins),1.0855922,0.05271278,0.019871762,1.1581767,0.009947166608666085,3.1348549283297142
Fragments Aitken (Sol),0.53699017,0.08237847,0.07982178,0.6991904,0.032366055065842524,16.89612796107112
Fragments Accumulation (Ins),124.861404,35.081886,0.0,159.9433,1.7692140095676723,4.0374502726591155
Fragments Accumulation (Sol),138.04144,37.24001,186.61784,361.89926,10.429367037037073,10.518725440354647
Fragments Coarse (Ins),10596.526,11053.488,0.0,21650.014,111.9831860991198,1.8879370491704104
Fragments Coarse (Sol),213489.58,42087.055,46574.176,302150.8,4649.9090303339935,5.6171180942030645
Fragments Supercoarse (Ins),39869236.0,26033706.0,0.0,65902948.0,6421.839277816147,0.03556701797926996
Fibres Coarse (Ins),206.93718,472.97507,0.0,679.91223,4.0931496000880045,2.1973418552219246
Fibres Coarse (Sol),47440.11,13271.954,16154.923,76866.984,1164.5250016676594,5.529703409919881
Fibres Supercoarse (Ins),4244705.5,2716303.0,0.0,6961008.5,1260.2710988386702,0.0660822280386692
Total,44385944.0,28816964.0,62915.812,73265830.0,13624.861641673318,0.06787713872174236
