Size Mode,Dry Deposition (%),Impaction Scavenging (%),Nucleation Scavenging (%)
Fragments Aitken (Ins),93.732864,4.551359,1.7157799
Fragments Aitken (Sol),76.80171,11.7819805,11.416315
Fragments Accumulation (Ins),78.06605,21.933952,0.0
Fragments Accumulation (Sol),38.143612,10.290159,51.566242
Fragments Coarse (Ins),48.944664,51.055344,0.0
Fragments Coarse (Sol),70.656624,13.929155,15.414216
Fragments Supercoarse (Ins),60.49689,39.503098,0.0
Fibres Coarse (Ins),30.435865,69.56413,0.0
Fibres Coarse (Sol),61.717148,17.26613,21.016726
Fibres Supercoarse (Ins),60.97831,39.02169,0.0
Total,60.582054,39.332066,0.08587333
