observations_deposition,model_values_deposition,latitude,longitude
110.0,12071.369710214854,48.7883,2.4434
53.0,12071.369710214854,48.84,2.5876
277.0,32986.74602927534,23.0833,113.79
208.0,32986.74602927534,23.1,113.76
198.0,32986.74602927534,23.05,113.75
365.0,1683.156929073163,42.8039,1.4186
45.3,0.22263270747402594,117.0,29.0
64.5,6699.852231862717,52.866,353.087
71.0,3914.3310640052373,52.2942,353.4945
80.6,1317.542935547523,51.9397,349.7556
101.9,2365.1244111145215,55.382,352.6266
10.0,3772.0465020943666,54.5094,18.5411
114.0,32986.74602927534,23.1291,113.2644
205.0,19.003233679240665,43.52,172.58
3261.22,21023.008477331416,31.2167,121.4667
1650.0,21023.008477331416,31.2167,121.4667
15.0,467.2581946514607,-6.1944,106.8229
7.0,1772.3099172193422,45.0,280.0
4885.0,1969.3247195395268,-36.87,174.7
3055.0,9735.524268099252,53.7675,359.68
1500.0,9735.524268099252,53.7675,359.68
246.0,9416.494181523187,30.63,104.08
207.0,9416.494181523187,30.63,104.08
89.0,5576.860617747585,53.55,9.99
2632.0,5856.381690907086,36.26,60.51
46.708,1568.5671707240447,36.09,120.25
1959.6,3021.79309809601,25.5931,85.0713
1320.4,3021.79309809601,25.5336,84.8506
192.0,9416.494181523187,30.5643,103.9957
180.0,9416.494181523187,30.5636,103.9965
42.48,8574.1439951954,50.38,355.86
65.94,32986.74602927534,23.0,113.0
11554.0,11715.305482413352,36.78,114.94
125.0,5337.754907339247,39.58,115.26
180.0,39053.654892270344,40.11,116.26
395.0,39053.654892270344,40.01,116.34
98.0,1683.156929073163,43.2,-8.21
1387.8,21023.008477331416,30.3,120.1
5476.0,1086.8649346789546,5.4119,103.0857
1.7,0.0037107590183843753,-74.7,164.1167
2256.0,7236.2820971046585,30.6653,76.7297
9.0,3016.3178406874217,47.9167,240.2
2065.0,2054.498423381476,40.9506,108.9622
3073.0,2054.498423381476,41.1341,108.8639
4468.0,2054.498423381476,41.0363,108.8301
2829.0,2054.498423381476,40.9748,108.9173
3909.0,3456.3314574621245,40.7759,108.7081
3885.0,2054.498423381476,40.8219,108.7819
207.0,8372.386015977372,51.3248,9.5247
17.0,8372.386015977372,51.3248,9.5247
347.2,24761.828666569807,39.677,116.441
167.25,24761.828666569807,39.942,116.277
144.31,39053.654892270344,40.191,116.81
139.87,24761.828666569807,39.699,116.695
110.84,5337.754907339247,39.655,116.032
93.05,5337.754907339247,39.972,116.02
19.694,5433.870435090972,29.592,52.583
10.0,5433.870435090972,29.592,52.583
10.333,5433.870435090972,29.592,52.583
18.686,5433.870435090972,29.592,52.583
8.9739,5433.870435090972,29.592,52.583
13.51,5433.870435090972,29.592,52.583
58.87,2043.3747792124752,-22.0133,312.1097
349.6,14375.908656161217,34.27427,108.9657
281.4,14375.908656161217,34.35042,108.9855
236.9,14375.908656161217,34.19314,108.88781
231.1,14375.908656161217,34.48962,109.522
258.6,5714.308917717748,34.34968,108.7328
224.5,5714.308917717748,34.34562,107.2335
142.2,1619.6159033174647,33.06836,107.0443
189.7,3497.347367266239,38.26857,109.7675
130.2,3001.4283921589,32.68421,109.0417
161.4,14375.908656161217,33.86029,109.9578
162.3,3330.0166672283726,36.61996,109.4631
97.6,14375.908656161217,34.90982,108.9895
315.225,5434.3252335378065,30.905562,114.360851
372.75,13734.22925060399,30.457544,114.617104
286.375,13734.22925060399,30.798448,114.699912
384.25,5434.3252335378065,30.251142,114.321211
286.25,5434.3252335378065,30.531944,114.024444
360.25,5434.3252335378065,30.419515,113.925076
378.625,5434.3252335378065,30.378611,114.329722
275.0125,5434.3252335378065,30.704151,114.085182
345.95,5434.3252335378065,30.585018,114.253937
353.95,5434.3252335378065,30.625278,114.363611
338.875,13734.22925060399,30.525556,114.392778
321.75,5434.3252335378065,30.554851,114.204954
103.0,1508.1979477053635,13.746056,100.53075
238.0,5216.911700475128,13.991194,100.646861
263.0,5216.911700475128,13.982389,100.536944
325.0,5216.911700475128,14.08,100.61
364.0,9416.494181523187,30.632,104.0809
266.2,9416.494181523187,30.5622,103.9967
207.1,9416.494181523187,30.7075,103.8598
254.7,9416.494181523187,30.781,103.9529
208.1,9416.494181523187,30.9076,104.4263
302.31,13562.28937556116,32.12,118.96
150.0,391.873867820125,-43.9853,170.4641
26.0,391.873867820125,-43.9853,170.4641
