observations_active,model_values_active,latitude,longitude
1.42,41.42222962131719,31.2167,121.4667
0.41,41.42222962131719,31.2167,121.4667
0.13,15.949312900817164,28.0,122.0
2.9,25.2807828329062,44.2197,11.1299
9.6,25.2807828329062,44.2197,11.1299
189.0,32.70410688109708,27.9949,120.6994
0.027,0.712059262448365,29.0,128.0
14.65,20.087992212889816,-23.5544,313.3295
0.445,76.5908270358572,-6.9239,107.6064
0.205,44.10696026988528,19.43,260.87
0.11,44.10696026988528,19.43,260.87
0.11,49.246076557874716,7.0,80.0
2.5,41.42222962131719,31.2167,121.4667
160.3333333,6.1857237866067685,54.38,18.67
41.5,4.834489901201788,54.74,18.67
16.8,1.4407764479487517,56.0,19.0
48.75,1.3201517223158994,57.4,18.49
333.42,20.75284092761854,13.76,100.5
1.76,50.5220867107588,45.76,126.64
0.8,10.30756500696513,41.35,25.51
0.2,68.67810647864017,33.42,111.93
0.72,73.75389861761383,37.55,127.0
1301.0,22.995282761340693,14.0034,100.6647
0.004669,25.126018750492946,31.2963,48.6972
0.006069,25.637604534631656,31.3069,48.6435
0.048,2.346421438729622,30.2,123.06
0.038,0.15528031018667318,24.97,128.18
0.0316,0.045773050941664103,18.67,134.05
0.0226,0.06297679246640159,12.79,139.81
0.0405,0.04680124032112775,5.12,146.94
0.0408,0.16601622567883617,-4.71,152.56
0.0422,0.009309428237488827,-13.66,155.27
0.048,0.08065666555969944,-24.05,155.57
0.0478,0.4893661639503783,-34.27,153.05
0.0315,0.03197729514855838,-44.41,150.09
0.0246,0.02098207352937535,-45.85,147.42
0.0398,0.002109507475755699,-54.24,144.16
0.045,0.01738090942472996,-60.34,129.58
0.0297,0.056966348406325765,-60.89,109.6
0.0195,0.037881191575589064,-61.65,89.95
0.0247,0.025364239493485215,-64.04,103.43
0.0344,0.03239853674248861,-64.39,128.36
0.0355,0.010372381628917996,-64.74,146.33
0.0364,0.0038689543110175598,-65.17,151.61
0.0445,0.0031358204939186205,-65.27,152.93
0.0285,0.02514150714526861,-65.42,82.0
0.0412,0.018496093229739923,-65.62,77.77
0.034,0.008843782996323574,-68.97,76.42
0.0224,0.003745018902180299,-69.3,76.23
0.0027,6.81256353103896e-05,-73.86,76.97
0.0083,6.81256353103896e-05,-73.86,76.97
0.0179,79.91139459475777,14.4599,120.9948
0.0084,65.75394403743653,14.6942,120.969
0.0012,76.73550688507628,14.4818,121.0375
0.0143,64.94718807015087,14.6345,121.0984
0.0024,59.35076293929395,14.7505,121.0538
0.0119,75.1177436027483,14.5092,121.035
0.0167,67.90390817304787,14.6709,120.9509
0.0107,71.47403194934952,14.5469,121.0675
0.0227,75.12741167370176,14.5237,121.012
0.0036,70.39783567949138,14.5833,121.0367
0.0084,83.32966719335636,14.3822,121.0298
0.0107,71.94639716882908,14.5922,120.9808
0.0072,69.81278040992775,14.5758,121.0643
0.0143,68.87131272107652,14.6579,120.9477
0.006,69.23468251525904,14.6048,121.0317
0.006,71.51284457769141,14.5614,121.0434
0.0227,66.73011788247544,14.6388,121.0418
14998.0,24.864928911706897,40.8,29.36
0.082,7.252087219730077,50.38,355.86
0.17,78.01616181640898,23.0,113.0
0.05,90.62775373420504,23.13,113.26
0.063,0.5209561791709674,18.0,112.0
0.044,0.1917193280936676,19.0,115.0
0.059,0.09526462307752859,16.0,116.0
0.146,0.04985187043463009,11.0,115.0
0.031,0.03883073479998172,10.0,113.0
0.017,0.05556481438370464,12.0,113.0
0.017,0.10255700654857221,15.0,113.0
0.058,0.16442026831829631,15.0,112.0
0.042,0.16442026831829631,15.0,112.0
0.016,0.16442026831829631,15.0,112.0
0.045,0.16442026831829631,15.0,112.0
0.018,2.015683234781911,18.0,111.0
3.2,48.200410451038074,30.3,120.1
0.088,13.156488281385911,42.14,114.81
103.21,5.049027692060314,40.49,81.32
0.8,3.117471795441471,8.537,99.7
0.62,3.117471795441471,8.537,99.7
0.29,96.96562826969881,36.0708,114.3586
0.3,54.04581479887084,34.143,107.936
0.7,54.04581479887084,34.143,107.936
1.7,54.04581479887084,34.143,107.936
0.072028,97.87305190083434,39.1667,117.2631
162.6,50.66068273970238,45.755,126.6394
63.2,49.84991474956164,45.7539,126.6817
12.8,51.374291384012075,45.7006,126.672
3.74,21.411831094006455,26.0523,119.2925
2.67,17.923537509496523,26.03,119.6265
2.2,33.06015052234846,24.303306,120.710389
1.92,34.16991545581902,24.32,120.75
3.0,70.76931045135554,40.0,116.4
1.7,46.286204532553604,31.2,121.3
1.31,91.44272931824966,32.12,118.96
7.15,2.6250448038757064,29.6456,91.1813
6.54,53.688078452163026,35.4603,51.333
23.8,41.35746835966829,33.99,119.84
4.07,8.973066799267093,38.27,99.89
1.35,25.476878125310414,24.0841,120.5526
0.145,33.1147511324352,29.8,121.56
0.145,24.606943473109336,29.75,121.89
