observations_deposition,model_values_deposition,latitude,longitude
110.0,443980.22192245466,48.7883,2.4434
53.0,443980.22192245466,48.84,2.5876
277.0,2044747.7104391237,23.0833,113.79
208.0,2044747.7104391237,23.1,113.76
198.0,2044747.7104391237,23.05,113.75
365.0,394162.48678763513,42.8039,1.4186
112.0,73110.3813974887,36.26,247.65
68.0,62133.135266993064,43.18,250.35
130.0,93886.7325027067,43.37,246.5
435.0,149371.9977710824,40.34,254.32
54.0,202512.1632478447,33.87,244.1
120.0,85859.67374496724,40.74,249.5
48.0,23872.91433772776,38.21,250.1
148.0,149371.9977710824,40.07,254.43
140.0,112118.33167133367,38.5,252.5
107.0,56662.49195720511,38.9,245.8
80.0,131871.26894244354,37.5,247.8
45.3,13846.17157503658,117.0,29.0
64.5,405642.30046314024,52.866,353.087
71.0,140915.102235961,52.2942,353.4945
80.6,38536.75433090051,51.9397,349.7556
101.9,32924.037876832226,55.382,352.6266
10.0,207916.94310104923,54.5094,18.5411
114.0,2044747.7104391237,23.1291,113.2644
205.0,275.78124411713134,43.52,172.58
3261.22,1728211.3492547304,31.2167,121.4667
1650.0,1728211.3492547304,31.2167,121.4667
15.0,28325.701607203955,-6.1944,106.8229
7.0,65090.48026984224,45.0,280.0
4885.0,28057.744358890108,-36.87,174.7
3055.0,333822.49321195716,53.7675,359.68
1500.0,333822.49321195716,53.7675,359.68
246.0,1322499.907484269,30.63,104.08
207.0,1322499.907484269,30.63,104.08
89.0,665440.9668052937,53.55,9.99
2632.0,131794.0516686594,36.26,60.51
46.708,33556.273846100004,36.09,120.25
1959.6,256328.98746232488,25.5931,85.0713
1320.4,256328.98746232488,25.5336,84.8506
192.0,1322499.907484269,30.5643,103.9957
180.0,1322499.907484269,30.5636,103.9965
42.48,231683.801332547,50.38,355.86
65.94,2044747.7104391237,23.0,113.0
11554.0,641012.1135746276,36.78,114.94
125.0,994223.9655039471,39.58,115.26
180.0,486719.3755031503,40.11,116.26
395.0,486719.3755031503,40.01,116.34
98.0,394162.48678763513,43.2,-8.21
1387.8,1728211.3492547304,30.3,120.1
5476.0,234685.77063719794,5.4119,103.0857
1.7,267.4651057457637,-74.7,164.1167
2256.0,490089.07621983497,30.6653,76.7297
9.0,208047.55257035443,47.9167,240.2
2065.0,324116.4262344265,40.9506,108.9622
3073.0,324116.4262344265,41.1341,108.8639
4468.0,324116.4262344265,41.0363,108.8301
2829.0,324116.4262344265,40.9748,108.9173
3909.0,173704.14300731587,40.7759,108.7081
3885.0,324116.4262344265,40.8219,108.7819
207.0,859437.3745323549,51.3248,9.5247
17.0,859437.3745323549,51.3248,9.5247
347.2,1568330.2344744632,39.677,116.441
167.25,1568330.2344744632,39.942,116.277
144.31,486719.3755031503,40.191,116.81
139.87,1568330.2344744632,39.699,116.695
110.84,994223.9655039471,39.655,116.032
93.05,994223.9655039471,39.972,116.02
19.694,102481.64539973039,29.592,52.583
10.0,102481.64539973039,29.592,52.583
10.333,102481.64539973039,29.592,52.583
18.686,102481.64539973039,29.592,52.583
8.9739,102481.64539973039,29.592,52.583
13.51,102481.64539973039,29.592,52.583
58.87,159949.05073875192,-22.0133,312.1097
349.6,339886.5780739391,34.27427,108.9657
281.4,339886.5780739391,34.35042,108.9855
236.9,339886.5780739391,34.19314,108.88781
231.1,339886.5780739391,34.48962,109.522
258.6,698397.6449730082,34.34968,108.7328
224.5,698397.6449730082,34.34562,107.2335
142.2,168242.37073364414,33.06836,107.0443
189.7,334119.0540563524,38.26857,109.7675
130.2,177126.4591278646,32.68421,109.0417
161.4,339886.5780739391,33.86029,109.9578
162.3,218286.2076487295,36.61996,109.4631
97.6,339886.5780739391,34.90982,108.9895
315.225,1454197.9354111394,30.905562,114.360851
372.75,149840.64725935832,30.457544,114.617104
286.375,149840.64725935832,30.798448,114.699912
384.25,1454197.9354111394,30.251142,114.321211
286.25,1454197.9354111394,30.531944,114.024444
360.25,1454197.9354111394,30.419515,113.925076
378.625,1454197.9354111394,30.378611,114.329722
275.0125,1454197.9354111394,30.704151,114.085182
345.95,1454197.9354111394,30.585018,114.253937
353.95,1454197.9354111394,30.625278,114.363611
338.875,149840.64725935832,30.525556,114.392778
321.75,1454197.9354111394,30.554851,114.204954
103.0,136424.50347423457,13.746056,100.53075
238.0,400156.1135845317,13.991194,100.646861
263.0,400156.1135845317,13.982389,100.536944
325.0,400156.1135845317,14.08,100.61
364.0,1322499.907484269,30.632,104.0809
266.2,1322499.907484269,30.5622,103.9967
207.1,1322499.907484269,30.7075,103.8598
254.7,1322499.907484269,30.781,103.9529
208.1,1322499.907484269,30.9076,104.4263
302.31,1424218.9829914693,32.12,118.96
150.0,28819.30581834415,-43.9853,170.4641
26.0,28819.30581834415,-43.9853,170.4641
