Authors,Title,Year,Sampling Methodology,Sample analysis,Size (µm),Results (avg),Uncertainty,Units,Latitude (°N),Longitude (°E)
Dris R.; Gasperi J.; Saad M.; Mirande C.; Tassin B.,Synthetic fibers in atmospheric fallout: A source of microplastics in the environment?,2016,Deposition,Microscopy; µFTIR,> 50,110,96,particles m-2 d-1,48.7883,2.4434
Dris R.; Gasperi J.; Saad M.; Mirande C.; Tassin B.,Synthetic fibers in atmospheric fallout: A source of microplastics in the environment?,2016,Deposition,Microscopy; µFTIR,> 50,53,38,particles m-2 d-1,48.84,2.5876
Cai L.; Wang J.; Peng J.; Tan Z.; Zhan Z.; Tan X.; Chen Q.,"Characteristic of microplastics in the atmospheric fallout from Dongguan city, China: preliminary research and first evidence",2017,Deposition,Microscopy; µFTIR; SEM,> 11,277,32,particles m-2 d-1,23.0833,113.79
Cai L.; Wang J.; Peng J.; Tan Z.; Zhan Z.; Tan X.; Chen Q.,"Characteristic of microplastics in the atmospheric fallout from Dongguan city, China: preliminary research and first evidence",2017,Deposition,Microscopy; µFTIR; SEM,> 11,208,3,particles m-2 d-1,23.1,113.76
Cai L.; Wang J.; Peng J.; Tan Z.; Zhan Z.; Tan X.; Chen Q.,"Characteristic of microplastics in the atmospheric fallout from Dongguan city, China: preliminary research and first evidence",2017,Deposition,Microscopy; µFTIR; SEM,> 11,198,27,particles m-2 d-1,23.05,113.75
Liu K.; Wang X.; Fang T.; Xu P.; Zhu L.; Li D.,Source and potential risk assessment of suspended atmospheric microplastics in Shanghai,2019,Sampling,Microscopy; µFTIR,> ~20,1.42,1.42,particles m-3,31.2167,121.4667
Liu K.; Wang X.; Wei N.; Song Z.; Li D.,Accurate quantification and transport estimation of suspended atmospheric microplastics in megacities: Implications for human health,2019,Sampling,Microscopy; µFTIR,> ~12,0.41,,particles m-3,31.2167,121.4667
Allen S.; Allen D.; Phoenix V.R.; Le Roux G.; Durántez Jiménez P.; Simonneau A.; Binet S.; Galop D.,Atmospheric transport and deposition of microplastics in a remote mountain catchment,2019,Deposition,Microscopy; µRaman,> 2,365,69,particles m-2 d-1,42.8039,1.4186
Liu K.; Wu T.; Wang X.; Song Z.; Zong C.; Wei N.; Li D.,Consistent Transport of Terrestrial Microplastics to the Ocean through Atmosphere,2019,Sampling,Microscopy; µFTIR,> 11,0.13,0.24,particles m-3,28,122
Liu K.; Wang X.; Song Z.; Wei N.; Ye H.; Cong X.; Zhao L.; Li Y.; Qu L.; Zhu L.; Zhang F.; Zong C.; Jiang C.; Li D.,Global inventory of atmospheric fibrous microplastics input into the ocean: An implication from the indoor origin,2020,Deposition,Microscopy; µFTIR,> 11,45.3,,particles m-2 d-1,117,29
Allen S.; Allen D.; Moss K.; Le Roux G.; Phoenix V.R.; Sonke J.E.,Examination of the ocean as a source for atmospheric microplastics,2020,Sampling,Microscopy; µRaman,> 2,2.9,,particles m-3,44.2197,11.1299
Allen S.; Allen D.; Moss K.; Le Roux G.; Phoenix V.R.; Sonke J.E.,Examination of the ocean as a source for atmospheric microplastics,2020,Sampling,Microscopy; µRaman,> 2,9.6,,particles m-3,44.2197,11.1299
Roblin B.; Ryan M.; Vreugdenhil A.; Aherne J.,Ambient Atmospheric Deposition of Anthropogenic Microfibers and Microplastics on the Western Periphery of Europe (Ireland),2020,Deposition,Microscopy; µRaman,> 2,64.5,,particles m-2 d-1,52.866,353.087
Roblin B.; Ryan M.; Vreugdenhil A.; Aherne J.,Ambient Atmospheric Deposition of Anthropogenic Microfibers and Microplastics on the Western Periphery of Europe (Ireland),2020,Deposition,Microscopy; µRaman,> 2,71,,particles m-2 d-1,52.2942,353.4945
Roblin B.; Ryan M.; Vreugdenhil A.; Aherne J.,Ambient Atmospheric Deposition of Anthropogenic Microfibers and Microplastics on the Western Periphery of Europe (Ireland),2020,Deposition,Microscopy; µRaman,> 2,80.6,,particles m-2 d-1,51.9397,349.7556
Roblin B.; Ryan M.; Vreugdenhil A.; Aherne J.,Ambient Atmospheric Deposition of Anthropogenic Microfibers and Microplastics on the Western Periphery of Europe (Ireland),2020,Deposition,Microscopy; µRaman,> 2,101.9,,particles m-2 d-1,55.382,352.6266
Liao Z.; Ji X.; Ma Y.; Lv B.; Huang W.; Zhu X.; Fang M.; Wang Q.; Wang X.; Dahlgren R.; Shang X.,Airborne microplastics in indoor and outdoor environments of a coastal city in Eastern China,2021,Sampling,Nile Red; µFTIR,> 11,189,85,particles m-3,27.9949,120.6994
Szewc K.; Graca B.; Do??ga A.,Atmospheric deposition of microplastics in the coastal zone: Characteristics and relationship with meteorological factors,2021,Deposition,Microscopy; ?ATR; ?FTIR,> 11,10,8,particles m-2 d-1,54.5094,18.5411
Huang Y.; He T.; Yan M.; Yang L.; Gong H.; Wang W.; Qing X.; Wang J.,Atmospheric transport and deposition of microplastics in a subtropical urban environment,2021,Deposition,Microscopy; µFTIR,> 11,114,40,particles m-2 d-1,23.1291,113.2644
Dong H.; Wang L.; Wang X.; Xu L.; Chen M.; Gong P.; Wang C.,Microplastics in a Remote Lake Basin of the Tibetan Plateau: Impacts of Atmospheric Transport and Glacial Melting,2021,Depositon,Microscopy; µFTIR,> 11,24,,particles m-2 d-1,30.75,90.1667
Peñalver R.; Costa-Gómez I.; Arroyo-Manzanares N.; Moreno J.M.; López-García I.; Moreno-Grau S.; Córdoba M.H.,Assessing the level of airborne polystyrene microplastics using thermogravimetry-mass spectrometry: Results for an agricultural area,2021,Sampling,TGA-MS,> 10,36,,ng m-3,37.6916,358.9283
Wang X.; Liu K.; Zhu L.; Li C.; Song Z.; Li D.,Efficient transport of atmospheric microplastics onto the continent via the East Asian summer monsoon,2021,Sampling,Microscopy; µFTIR,> 11,0.39,0.43,per 100 m-3,21,113
Wang X.; Liu K.; Zhu L.; Li C.; Song Z.; Li D.,Efficient transport of atmospheric microplastics onto the continent via the East Asian summer monsoon,2021,Sampling,Microscopy; µFTIR,> 11,0.271,,per 100 m-3,18,110.5
Wang X.; Liu K.; Zhu L.; Li C.; Song Z.; Li D.,Efficient transport of atmospheric microplastics onto the continent via the East Asian summer monsoon,2021,Sampling,Microscopy; µFTIR,> 11,0.144,,per 100 m-3,18.5,110
Wang X.; Liu K.; Zhu L.; Li C.; Song Z.; Li D.,Efficient transport of atmospheric microplastics onto the continent via the East Asian summer monsoon,2021,Sampling,Microscopy; µFTIR,> 11,0,,per 100 m-3,19.3,111.3
Wang X.; Liu K.; Zhu L.; Li C.; Song Z.; Li D.,Efficient transport of atmospheric microplastics onto the continent via the East Asian summer monsoon,2021,Sampling,Microscopy; µFTIR,> 11,0.343,,per 100 m-3,19.5,111.5
Wang X.; Liu K.; Zhu L.; Li C.; Song Z.; Li D.,Efficient transport of atmospheric microplastics onto the continent via the East Asian summer monsoon,2021,Sampling,Microscopy; µFTIR,> 11,0,,per 100 m-3,20.2,111.6
Wang X.; Liu K.; Zhu L.; Li C.; Song Z.; Li D.,Efficient transport of atmospheric microplastics onto the continent via the East Asian summer monsoon,2021,Sampling,Microscopy; µFTIR,> 11,0,,per 100 m-3,20.8,111.2
Wang X.; Liu K.; Zhu L.; Li C.; Song Z.; Li D.,Efficient transport of atmospheric microplastics onto the continent via the East Asian summer monsoon,2021,Sampling,Microscopy; µFTIR,> 11,0,,per 100 m-3,20.9,111.8
Wang X.; Liu K.; Zhu L.; Li C.; Song Z.; Li D.,Efficient transport of atmospheric microplastics onto the continent via the East Asian summer monsoon,2021,Sampling,Microscopy; µFTIR,> 11,0,,per 100 m-3,21,112.5
Wang X.; Liu K.; Zhu L.; Li C.; Song Z.; Li D.,Efficient transport of atmospheric microplastics onto the continent via the East Asian summer monsoon,2021,Sampling,Microscopy; µFTIR,> 11,0,,per 100 m-3,21.4,113.2
Wang X.; Liu K.; Zhu L.; Li C.; Song Z.; Li D.,Efficient transport of atmospheric microplastics onto the continent via the East Asian summer monsoon,2021,Sampling,Microscopy; µFTIR,> 11,0.152,,per 100 m-3,20.5,113.8
Wang X.; Liu K.; Zhu L.; Li C.; Song Z.; Li D.,Efficient transport of atmospheric microplastics onto the continent via the East Asian summer monsoon,2021,Sampling,Microscopy; µFTIR,> 11,0.505,,per 100 m-3,21.5,113.8
Wang X.; Liu K.; Zhu L.; Li C.; Song Z.; Li D.,Efficient transport of atmospheric microplastics onto the continent via the East Asian summer monsoon,2021,Sampling,Microscopy; µFTIR,> 11,0.168,,per 100 m-3,20.8,114.3
Wang X.; Liu K.; Zhu L.; Li C.; Song Z.; Li D.,Efficient transport of atmospheric microplastics onto the continent via the East Asian summer monsoon,2021,Sampling,Microscopy; µFTIR,> 11,0.449,,per 100 m-3,21.6,114.5
Wang X.; Liu K.; Zhu L.; Li C.; Song Z.; Li D.,Efficient transport of atmospheric microplastics onto the continent via the East Asian summer monsoon,2021,Sampling,Microscopy; µFTIR,> 11,0.246,,per 100 m-3,21.2,115.1
Wang X.; Liu K.; Zhu L.; Li C.; Song Z.; Li D.,Efficient transport of atmospheric microplastics onto the continent via the East Asian summer monsoon,2021,Sampling,Microscopy; µFTIR,> 11,0.831,,per 100 m-3,22,115.2
Wang X.; Liu K.; Zhu L.; Li C.; Song Z.; Li D.,Efficient transport of atmospheric microplastics onto the continent via the East Asian summer monsoon,2021,Sampling,Microscopy; µFTIR,> 11,0.858,,per 100 m-3,22.2,115.8
Wang X.; Liu K.; Zhu L.; Li C.; Song Z.; Li D.,Efficient transport of atmospheric microplastics onto the continent via the East Asian summer monsoon,2021,Sampling,Microscopy; µFTIR,> 11,0,,per 100 m-3,22.3,116.5
